*******************************************************************************
Ephemeris / WWW_USER Sat Jun 23 08:34:32 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-25 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Mar-25 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460338.458333333, A.D. 2024-Jan-28 23:00:00.0000, -3.883331395444596E+05,  1.157263844487396E+05,  2.013997678480852E+04, -2.834560998657218E-01, -9.250069582147880E-01, -7.021017566033377E-02,
2460338.500000000, A.D. 2024-Jan-29 00:00:00.0000, -3.893384244386593E+05,  1.123920499751654E+05,  1.988642955611036E+04, -2.750319106920043E-01, -9.273889886877593E-01, -7.064846313494061E-02,
2460338.541666667, A.D. 2024-Jan-29 01:00:00.0000, -3.903133437412112E+05,  1.090492708894646E+05,  1.963131458281339E+04, -2.665864213305537E-01, -9.296983865459643E-01, -7.108114013917088E-02,
2460338.583333333, A.D. 2024-Jan-29 02:00:00.0000, -3.912578217932286E+05,  1.056983089137511E+05,  1.937465211365285E+04, -2.581201994645979E-01, -9.319350164220837E-01, -7.150817836623580E-02,
2460338.625000000, A.D. 2024-Jan-29 03:00:00.0000, -3.921717849797237E+05,  1.023394262512390E+05,  1.911646249873158E+04, -2.496338129089676E-01, -9.340987464012427E-01, -7.192954980728106E-02,
2460338.666666667, A.D. 2024-Jan-29 04:00:00.0000, -3.930551617300680E+05,  9.897288557386016E+04,  1.885676618845076E+04, -2.411278296029075E-01, -9.361894479954103E-01, -7.234522674953092E-02,
2460338.708333333, A.D. 2024-Jan-29 05:00:00.0000, -3.939078825184284E+05,  9.559895000997301E+04,  1.859558373244747E+04, -2.326028176036602E-01, -9.382069961179808E-01, -7.275518177442353E-02,
2460338.750000000, A.D. 2024-Jan-29 06:00:00.0000, -3.947298798641817E+05,  9.221788313216314E+04,  1.833293577853881E+04, -2.240593450808236E-01, -9.401512690585543E-01, -7.315938775574171E-02,
2460338.791666667, A.D. 2024-Jan-29 07:00:00.0000, -3.955210883323103E+05,  8.882994894513392E+04,  1.806884307167285E+04, -2.154979803114770E-01, -9.420221484579266E-01, -7.355781785774046E-02,
2460338.833333333, A.D. 2024-Jan-29 08:00:00.0000, -3.962814445337811E+05,  8.543541187368693E+04,  1.780332645288631E+04, -2.069192916760753E-01, -9.438195192833155E-01, -7.395044553327196E-02,
2460338.875000000, A.D. 2024-Jan-29 09:00:00.0000, -3.970108871259115E+05,  8.203453675079100E+04,  1.753640685826896E+04, -1.983238476551058E-01, -9.455432698038329E-01, -7.433724452190904E-02,
2460338.916666667, A.D. 2024-Jan-29 10:00:00.0000, -3.977093568127248E+05,  7.862758880573923E+04,  1.726810531793485E+04, -1.897122168265060E-01, -9.471932915662220E-01, -7.471818884807058E-02,
2460338.958333333, A.D. 2024-Jan-29 11:00:00.0000, -3.983767963452977E+05,  7.521483365239268E+04,  1.699844295500020E+04, -1.810849678638390E-01, -9.487694793708780E-01, -7.509325281914936E-02,
